Episodio,Comida_Numero,Secuencia_Predefinida,QL_Posicion,QL_Primer_Paso,QL_Ultimo_Paso,QL_Pasos_Visible,QL_Fue_Comida,QL_Pasos_Para_Comer,DQN_Posicion,DQN_Primer_Paso,DQN_Ultimo_Paso,DQN_Pasos_Visible,DQN_Fue_Comida,DQN_Pasos_Para_Comer,Posiciones_Coinciden,Ambos_La_Comieron,QL_Score_Final,DQN_Score_Final,QL_Pasos_Totales,DQN_Pasos_Totales
1,1,"(8, 8)","(8, 8)",1,4,4,True,2,"(8, 8)",1,4,4,True,2,True,True,10,7,100,75
1,2,"(3, 0)","(3, 0)",5,21,17,True,15,"(3, 0)",5,21,17,True,15,True,True,10,7,100,75
1,3,"(8, 7)","(8, 7)",22,39,18,True,16,"(8, 7)",22,35,14,True,12,True,True,10,7,100,75
1,4,"(7, 4)","(7, 4)",40,45,6,True,4,"(7, 4)",36,39,4,True,2,True,True,10,7,100,75
1,5,"(3, 2)","(3, 2)",46,51,6,True,4,"(3, 2)",40,45,6,True,4,True,True,10,7,100,75
1,6,"(13, 1)","(13, 1)",52,62,11,True,9,"(13, 1)",46,56,11,True,9,True,True,10,7,100,75
1,7,"(0, 2)","(0, 2)",63,78,16,True,14,"(0, 2)",57,72,16,True,14,True,True,10,7,100,75
1,8,"(6, 7)","(6, 7)",79,89,11,True,9,"(6, 7)",73,75,3,False,,True,False,10,7,100,75
1,9,"(0, 6)","(0, 7)",90,95,6,True,4,N/A,N/A,N/A,N/A,False,N/A,False,False,10,7,100,75
1,10,"(13, 7)","(13, 7)",96,100,5,False,,N/A,N/A,N/A,N/A,False,N/A,False,False,10,7,100,75
2,1,"(8, 8)","(8, 8)",1,4,4,True,2,"(8, 8)",1,4,4,True,2,True,True,9,6,100,87
2,2,"(1, 9)","(1, 9)",5,12,8,True,6,"(1, 9)",5,14,10,True,8,True,True,9,6,100,87
2,3,"(4, 14)","(4, 14)",13,20,8,True,6,"(4, 14)",15,24,10,True,8,True,True,9,6,100,87
2,4,"(11, 3)","(11, 3)",21,38,18,True,16,"(11, 3)",25,42,18,True,16,True,True,9,6,100,87
2,5,"(14, 15)","(14, 15)",39,53,15,True,13,"(14, 15)",43,57,15,True,13,True,True,9,6,100,87
2,6,"(0, 13)","(0, 13)",54,69,16,True,14,"(0, 13)",58,73,16,True,14,True,True,9,6,100,87
2,7,"(11, 13)","(11, 13)",70,82,13,True,11,"(11, 13)",74,87,14,False,,True,False,9,6,100,87
